"Libellé";"idBank";"Période";"2010-01";"2010-02";"2010-03";"2010-04";"2010-05";"2010-06";"2010-07";"2010-08";"2010-09";"2010-10";"2010-11";"2010-12";"2011-01";"2011-02";"2011-03";"2011-04";"2011-05";"2011-06";"2011-07";"2011-08";"2011-09";"2011-10";"2011-11";"2011-12";"2012-01";"2012-02";"2012-03";"2012-04";"2012-05";"2012-06";"2012-07";"2012-08";"2012-09";"2012-10";"2012-11";"2012-12";"2013-01";"2013-02";"2013-03";"2013-04";"2013-05";"2013-06";"2013-07";"2013-08";"2013-09";"2013-10";"2013-11";"2013-12";"2014-01";"2014-02";"2014-03";"2014-04";"2014-05";"2014-06";"2014-07";"2014-08";"2014-09";"2014-10";"2014-11";"2014-12";"2015-01";"2015-02";"2015-03";"2015-04";"2015-05";"2015-06";"2015-07";"2015-08";"2015-09";"2015-10";"2015-11";"2015-12";"2016-01";"2016-02";"2016-03";"2016-04";"2016-05";"2016-06";"2016-07";"2016-08";"2016-09";"2016-10";"2016-11";"2016-12";"2017-01";"2017-02";"2017-03";"2017-04";"2017-05";"2017-06";"2017-07";"2017-08";"2017-09";"2017-10";"2017-11";"2017-12";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12"
"Arrivées dans l'hôtellerie de plein air - Résidents - Occitanie";"001739067";"";"";"";"";"140.73";"225.19";"236.36";"883.14";"969.0";"177.33";"";"";"";"";"";"";"116.41";"149.01";"362.33";"907.31";"942.12";"206.77";"";"";"";"";"";"";"150.91";"253.99";"296.78";"794.91";"1012.7";"223.9";"";"";"";"";"";"";"130.34";"250.35";"284.96";"773.4";"1060.55";"199.42";"";"";"";"";"";"";"160.0";"288.15";"346.25";"756.36";"1054.43";"217.64";"";"";"";"";"";"";"203.53";"364.15";"319.43";"790.97";"1072.83";"223.93";"";"";"";"";"";"";"168.21";"275.24";"336.06";"928.62";"960.09";"264.38";"";"";"";"";"";"";"230.33";"285.88";"382.54";"893.78";"994.7";"266.01";"";"";"";"";"";"";"190.56";"319.04";"378.32";"827.43";"1016.86";"281.98";"";"";"";"";"";"";"212.91";"287.66";"455.55";"821.91";"1083.17";"267.94";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Résidents - Auvergne-Rhône-Alpes";"001739079";"";"";"";"";"63.76";"133.47";"140.11";"452.97";"476.55";"81.8";"";"";"";"";"";"";"55.14";"91.89";"215.1";"442.72";"474.18";"103.86";"";"";"";"";"";"";"68.42";"148.68";"174.67";"413.22";"505.54";"108.14";"";"";"";"";"";"";"53.83";"133.85";"168.03";"418.57";"530.97";"101.7";"";"";"";"";"";"";"64.27";"157.71";"217.9";"381.68";"496.88";"114.07";"";"";"";"";"";"";"92.16";"219.62";"216.81";"469.95";"559.48";"113.89";"";"";"";"";"";"";"90.28";"187.02";"201.98";"526.93";"551.16";"157.8";"";"";"";"";"";"";"109.91";"188.97";"269.94";"515.33";"567.66";"144.37";"";"";"";"";"";"";"89.69";"215.45";"254.9";"476.91";"580.24";"159.72";"";"";"";"";"";"";"98.57";"187.98";"303.12";"480.98";"597.9";"154.59";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Résidents - Provence-Alpes-Côte d'Azur";"001711283";"";"";"";"";"111.63";"143.95";"137.5";"418.99";"447.11";"98.16";"";"";"";"";"";"";"114.7";"110.03";"203.82";"457.34";"449.43";"128.86";"";"";"";"";"";"";"128.31";"161.82";"166.61";"404.9";"490.07";"122.14";"";"";"";"";"";"";"113.43";"170.91";"190.33";"378.17";"512.91";"119.06";"";"";"";"";"";"";"130.67";"193.85";"202.85";"368.52";"506.72";"144.07";"";"";"";"";"";"";"153.03";"227.58";"174.29";"393.21";"497.5";"134.21";"";"";"";"";"";"";"126.06";"185.13";"199.69";"448.72";"442.32";"157.53";"";"";"";"";"";"";"159.73";"178.53";"227.78";"460.03";"472.38";"161.55";"";"";"";"";"";"";"132.18";"197.47";"218.88";"404.6";"481.77";"162.4";"";"";"";"";"";"";"139.96";"172.77";"250.11";"372.3";"502.56";"155.22";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Arrivées dans l'hôtellerie de plein air - Résidents - Corse";"001711270";"";"";"";"";"7.36";"22.91";"50.36";"144.54";"142.97";"41.98";"";"";"";"";"";"";"8.51";"22.25";"51.65";"152.07";"181.72";"74.51";"";"";"";"";"";"";"10.09";"21.23";"55.98";"164.32";"175.56";"49.79";"";"";"";"";"";"";"8.56";"23.79";"64.39";"158.07";"194.03";"57.52";"";"";"";"";"";"";"10.13";"25.28";"53.99";"132.82";"179.19";"58.62";"";"";"";"";"";"";"12.68";"34.13";"59.27";"151.68";"167.57";"67.65";"";"";"";"";"";"";"14.95";"31.97";"65.12";"155.03";"147.94";"64.39";"";"";"";"";"";"";"17.8";"30.35";"62.38";"138.59";"145.52";"60.6";"";"";"";"";"";"";"16.77";"35.13";"69.93";"148.0";"148.11";"76.56";"";"";"";"";"";"";"17.95";"35.07";"73.05";"139.66";"134.31";"80.48";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - France métropolitaine";"001711193";"";"";"";"";"4440.66";"6547.87";"9179.61";"37317.79";"44109.9";"7152.07";"";"";"";"";"";"";"4643.7";"5169.31";"12023.8";"37575.0";"44311.65";"8103.8";"";"";"";"";"";"";"4741.64";"6947.03";"10092.89";"36095.56";"45158.13";"8459.38";"";"";"";"";"";"";"4763.8";"8008.75";"10030.3";"36451.33";"46513.41";"8414.17";"";"";"";"";"";"";"4763.77";"7548.63";"11709.5";"35263.63";"45861.67";"9348.49";"";"";"";"";"";"";"5548.44";"8993.36";"11333.97";"37902.96";"45288.26";"9357.09";"";"";"";"";"";"";"5290.45";"7729.89";"10960.31";"37544.74";"46045.6";"9885.9";"";"";"";"";"";"";"7351.31";"7609.72";"13135.17";"38118.27";"47550.7";"10205.76";"";"";"";"";"";"";"5444.89";"10638.48";"12241.89";"37981.02";"48137.81";"10563.25";"";"";"";"";"";"";"7562.16";"7668.78";"15237.21";"38853.9";"48278.19";"11001.39";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Île-de-France";"001711181";"";"";"";"";"208.64";"236.98";"213.11";"428.59";"457.27";"113.08";"";"";"";"";"";"";"203.5";"194.91";"212.63";"367.83";"426.06";"128.1";"";"";"";"";"";"";"168.92";"193.08";"217.01";"386.3";"450.06";"170.7";"";"";"";"";"";"";"222.87";"290.65";"216.65";"357.86";"415.64";"182.63";"";"";"";"";"";"";"221.01";"279.84";"242.4";"455.66";"552.63";"252.15";"";"";"";"";"";"";"222.03";"282.93";"274.93";"446.62";"446.51";"173.01";"";"";"";"";"";"";"215.4";"226.31";"241.22";"354.31";"412.74";"150.22";"";"";"";"";"";"";"247.04";"215.66";"234.15";"359.73";"402.69";"158.74";"";"";"";"";"";"";"231.55";"276.21";"243.3";"412.62";"473.52";"218.71";"";"";"";"";"";"";"282.0";"222.06";"282.68";"438.5";"472.0";"191.78";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Centre-Val de Loire";"001711176";"";"";"";"";"68.73";"153.56";"193.0";"608.27";"689.53";"131.96";"";"";"";"";"";"";"82.18";"128.55";"273.87";"602.38";"651.05";"137.34";"";"";"";"";"";"";"75.26";"154.97";"199.86";"550.51";"645.87";"144.87";"";"";"";"";"";"";"68.63";"168.17";"195.35";"581.01";"719.09";"146.93";"";"";"";"";"";"";"69.86";"149.53";"223.48";"564.94";"672.3";"140.58";"";"";"";"";"";"";"78.55";"187.33";"216.81";"605.55";"658.93";"140.94";"";"";"";"";"";"";"76.44";"159.34";"158.26";"594.27";"689.5";"139.13";"";"";"";"";"";"";"117.53";"164.71";"244.33";"600.74";"722.39";"141.81";"";"";"";"";"";"";"104.88";"220.34";"228.72";"593.56";"735.39";"171.21";"";"";"";"";"";"";"143.97";"173.22";"276.61";"631.29";"784.26";"168.2";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Bourgogne-Franche-Comté";"001739004";"";"";"";"";"62.96";"198.6";"270.73";"945.51";"983.61";"174.7";"";"";"";"";"";"";"68.08";"150.86";"359.95";"858.24";"965.7";"198.24";"";"";"";"";"";"";"70.02";"220.32";"309.12";"911.32";"1018.3";"205.82";"";"";"";"";"";"";"51.18";"177.83";"276.18";"909.77";"975.06";"184.5";"";"";"";"";"";"";"57.4";"181.47";"368.45";"774.42";"905.31";"208.8";"";"";"";"";"";"";"69.79";"235.43";"333.89";"909.38";"957.57";"208.8";"";"";"";"";"";"";"82.91";"230.18";"254.55";"887.15";"1040.55";"233.04";"";"";"";"";"";"";"98.35";"224.03";"389.87";"922.98";"1110.51";"244.26";"";"";"";"";"";"";"88.85";"290.27";"353.53";"882.94";"1054.87";"268.72";"";"";"";"";"";"";"98.36";"206.28";"446.77";"953.11";"1081.16";"297.56";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Normandie";"001739016";"";"";"";"";"225.26";"306.14";"362.55";"1105.76";"1236.78";"267.47";"";"";"";"";"";"";"245.65";"257.73";"468.99";"1017.01";"1160.25";"258.01";"";"";"";"";"";"";"213.22";"292.31";"324.78";"899.18";"1138.06";"276.46";"";"";"";"";"";"";"201.11";"302.81";"322.9";"981.14";"1250.68";"254.13";"";"";"";"";"";"";"195.78";"285.86";"478.62";"989.54";"1216.13";"281.18";"";"";"";"";"";"";"263.13";"367.77";"394.03";"1107.36";"1228.29";"265.46";"";"";"";"";"";"";"237.73";"293.49";"330.79";"977.74";"1212.33";"293.87";"";"";"";"";"";"";"284.66";"310.92";"424.68";"1052.36";"1293.0";"268.51";"";"";"";"";"";"";"217.94";"417.95";"432.25";"1150.74";"1411.54";"338.95";"";"";"";"";"";"";"367.5";"338.26";"626.49";"1290.86";"1456.61";"371.87";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Hauts-de-France";"001739027";"";"";"";"";"114.01";"205.97";"212.08";"623.43";"685.23";"154.62";"";"";"";"";"";"";"148.21";"172.99";"268.68";"581.67";"684.12";"153.23";"";"";"";"";"";"";"134.6";"205.54";"227.41";"549.82";"720.41";"181.82";"";"";"";"";"";"";"124.1";"229.44";"207.28";"600.57";"789.18";"175.02";"";"";"";"";"";"";"161.45";"199.41";"246.52";"614.42";"669.29";"181.7";"";"";"";"";"";"";"139.85";"239.86";"240.18";"609.56";"700.91";"162.86";"";"";"";"";"";"";"143.67";"233.31";"248.73";"584.84";"723.43";"203.27";"";"";"";"";"";"";"221.45";"250.69";"314.56";"623.32";"747.32";"200.73";"";"";"";"";"";"";"200.56";"300.6";"288.65";"678.16";"810.54";"221.07";"";"";"";"";"";"";"327.1";"276.02";"402.19";"794.4";"907.55";"246.13";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Grand Est";"001739039";"";"";"";"";"111.61";"253.56";"320.14";"822.99";"839.6";"225.87";"";"";"";"";"";"";"118.22";"196.34";"418.65";"747.38";"818.78";"239.61";"";"";"";"";"";"";"114.35";"260.5";"313.55";"725.84";"880.66";"274.46";"";"";"";"";"";"";"94.49";"228.25";"297.82";"806.93";"878.52";"236.14";"";"";"";"";"";"";"98.93";"231.05";"394.54";"699.67";"783.43";"262.37";"";"";"";"";"";"";"121.75";"276.25";"346.92";"792.57";"856.65";"254.52";"";"";"";"";"";"";"107.22";"288.66";"269.25";"745.95";"908.87";"285.47";"";"";"";"";"";"";"181.6";"266.08";"428.89";"783.79";"950.86";"283.15";"";"";"";"";"";"";"154.74";"380.52";"395.62";"833.69";"1046.55";"341.03";"";"";"";"";"";"";"203.09";"240.76";"474.99";"897.36";"998.66";"328.09";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Pays de la Loire";"001711187";"";"";"";"";"490.04";"591.03";"803.91";"3721.11";"4754.9";"544.97";"";"";"";"";"";"";"502.72";"449.12";"1107.48";"3748.33";"4670.09";"575.64";"";"";"";"";"";"";"549.96";"662.69";"799.28";"3319.82";"4656.53";"612.04";"";"";"";"";"";"";"571.28";"796.59";"771.32";"3284.24";"4792.89";"590.9";"";"";"";"";"";"";"565.34";"751.95";"935.32";"3553.15";"4773.52";"622.53";"";"";"";"";"";"";"638.8";"840.15";"914.58";"3919.88";"4770.69";"634.48";"";"";"";"";"";"";"617.36";"678.89";"837.15";"3800.06";"4694.59";"716.32";"";"";"";"";"";"";"812.77";"739.38";"1034.81";"3761.77";"4824.13";"689.73";"";"";"";"";"";"";"553.7";"1171.43";"975.03";"3705.15";"4987.99";"769.43";"";"";"";"";"";"";"896.83";"784.74";"1276.79";"4059.61";"5092.92";"784.26";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Bretagne";"001711175";"";"";"";"";"428.18";"541.69";"742.85";"3144.98";"4000.09";"520.59";"";"";"";"";"";"";"448.75";"437.09";"1039.97";"3147.46";"3890.59";"545.04";"";"";"";"";"";"";"489.88";"620.26";"724.04";"2740.04";"3742.28";"583.38";"";"";"";"";"";"";"473.81";"726.37";"714.51";"2980.49";"4270.6";"617.81";"";"";"";"";"";"";"489.91";"702.38";"881.6";"3199.31";"4287.37";"701.4";"";"";"";"";"";"";"587.06";"822.47";"926.12";"3658.7";"4227.44";"712.79";"";"";"";"";"";"";"538.32";"628.49";"824.11";"3353.84";"4240.59";"769.89";"";"";"";"";"";"";"765.85";"739.4";"1073.93";"3517.98";"4507.34";"742.13";"";"";"";"";"";"";"486.51";"1133.1";"1066.59";"3586.66";"4719.1";"877.89";"";"";"";"";"";"";"806.11";"758.47";"1232.29";"3978.16";"4692.32";"907.14";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Nouvelle-Aquitaine";"001739051";"";"";"";"";"747.32";"922.82";"1434.65";"7818.18";"9853.04";"1346.58";"";"";"";"";"";"";"916.37";"858.15";"2080.68";"7829.77";"9989.56";"1533.14";"";"";"";"";"";"";"893.89";"1092.67";"1696.85";"7425.8";"10344.62";"1690.84";"";"";"";"";"";"";"907.98";"1339.88";"1710.22";"7498.0";"10236.55";"1578.77";"";"";"";"";"";"";"884.24";"1237.75";"1928.64";"7408.28";"10203.34";"1816.41";"";"";"";"";"";"";"997.0";"1409.76";"2003.51";"8098.31";"10266.43";"1851.9";"";"";"";"";"";"";"1020.81";"1195.77";"1931.13";"8115.83";"10532.57";"2020.05";"";"";"";"";"";"";"1564.84";"1313.75";"2266.55";"8195.24";"10826.0";"1990.17";"";"";"";"";"";"";"1045.84";"1820.11";"2134.24";"7951.06";"10812.63";"2217.8";"";"";"";"";"";"";"1532.83";"1355.09";"2721.38";"8313.0";"10915.38";"2247.1";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Occitanie";"001739063";"";"";"";"";"800.95";"1263.05";"1892.0";"8160.84";"9606.86";"1588.89";"";"";"";"";"";"";"751.51";"939.88";"2501.68";"8363.63";"9702.72";"1856.36";"";"";"";"";"";"";"833.43";"1365.62";"2242.44";"8182.35";"9949.88";"1870.47";"";"";"";"";"";"";"838.01";"1576.91";"2192.63";"8085.53";"10258.89";"1890.29";"";"";"";"";"";"";"831.11";"1446.51";"2444.9";"7580.93";"10082.26";"2011.38";"";"";"";"";"";"";"992.09";"1772.69";"2363.95";"7866.32";"9703.44";"2025.82";"";"";"";"";"";"";"951.64";"1555.22";"2477.02";"8221.31";"9918.55";"2188.48";"";"";"";"";"";"";"1301.58";"1407.08";"2869.7";"8182.25";"10126.89";"2383.93";"";"";"";"";"";"";"1029.67";"1959.18";"2613.46";"8182.16";"10182.32";"2176.19";"";"";"";"";"";"";"1264.85";"1386.03";"3328.43";"7976.29";"10222.6";"2376.28";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Auvergne-Rhône-Alpes";"001739075";"";"";"";"";"306.93";"630.84";"871.95";"3849.09";"4160.93";"548.94";"";"";"";"";"";"";"284.58";"452.93";"1178.48";"3973.26";"4233.8";"636.39";"";"";"";"";"";"";"307.6";"656.7";"1019.73";"4052.93";"4403.88";"640.28";"";"";"";"";"";"";"276.02";"670.59";"974.99";"3997.64";"4393.5";"620.88";"";"";"";"";"";"";"288.62";"698.54";"1170.33";"3607.06";"4306.93";"695.73";"";"";"";"";"";"";"372.95";"879.3";"1131.59";"3871.42";"4375.24";"714.06";"";"";"";"";"";"";"391.83";"802.96";"1095.29";"3963.89";"4665.81";"808.72";"";"";"";"";"";"";"534.13";"752.28";"1339.09";"3973.96";"4872.05";"832.32";"";"";"";"";"";"";"403.47";"952.08";"1207.47";"3998.39";"4831.51";"838.97";"";"";"";"";"";"";"500.09";"707.35";"1507.81";"3940.67";"4779.58";"871.86";"";"";""
